scan_id,frame,density_score
000001,57,0.73
000002,46,0.39
000003,56,0.79
000004,55,0.78
000005,32,0.89
000006,90,0.7
000007,40,0.9
000008,47,0.71
000009,56,0.88
000010,10,0.59
000011,61,0.47
000012,98,0.5
000013,61,0.4
000014,60,0.81
000015,64,0.67
000016,54,0.73
000017,75,0.49
000018,41,0.85
000019,34,0.21
000020,3,0.42
000021,97,0.8
000022,20,0.68
000023,86,0.26
000024,72,0.72
000025,77,0.69
000026,1,0.78
000027,48,0.88
000028,0,0.6
000029,4,0.46
000030,96,0.46
000031,38,0.73
000032,1,0.33
000033,53,0.76
000034,41,0.38
000035,78,0.23
000036,27,0.24
000037,59,0.64
000038,36,0.4
000039,79,0.89
000040,85,0.42
000041,71,0.22
000042,8,0.31
000043,60,0.47
000044,82,0.32
000045,9,0.29
000046,65,0.55
000047,82,0.23
000048,86,0.54
000049,70,0.27
000050,96,0.42
000051,12,0.54
000052,28,0.62
000053,89,0.44
000054,76,0.2
000055,14,0.39
000056,67,0.45
000057,77,0.59
000058,66,0.57
000059,37,0.27
000060,78,0.75
000061,1,0.63
000062,98,0.65
000063,95,0.62
000064,55,0.67
000065,30,0.47
000066,69,0.43
000067,95,0.66
000068,93,0.61
000069,56,0.69
000070,46,0.31
000071,93,0.29
000072,24,0.82
000073,100,0.61
000074,27,0.78
000075,61,0.49
000076,60,0.85
000077,45,0.5
000078,47,0.89
000079,94,0.57
000080,9,0.6
000081,31,0.47
000082,81,0.68
000083,94,0.25
000084,49,0.75
000085,73,0.33
000086,89,0.64
000087,59,0.59
000088,21,0.82
000089,12,0.35
000090,32,0.7
000091,24,0.22
000092,90,0.88
000093,57,0.31
000094,96,0.89
000095,93,0.84
000096,33,0.21
000097,16,0.38
000098,96,0.4
000099,0,0.68
000100,75,0.58
000101,79,0.67
000102,63,0.55
000103,45,0.72
000104,34,0.27
000105,92,0.61
000106,19,0.74
000107,94,0.41
000108,96,0.29
000109,15,0.77
000110,96,0.33
000111,98,0.65
000112,22,0.45
000113,39,0.76
000114,79,0.7
000115,4,0.2
000116,32,0.53
000117,82,0.82
000118,36,0.26
000119,79,0.59
000120,26,0.81
000121,3,0.79
000122,8,0.66
000123,29,0.68
000124,74,0.58
000125,32,0.72
000126,32,0.5
000127,3,0.72
000128,26,0.64
000129,55,0.74
000130,10,0.64
000131,90,0.44
000132,96,0.75
000133,52,0.57
000134,22,0.26
000135,83,0.32
000136,34,0.45
000137,23,0.54
000138,72,0.67
000139,69,0.51
000140,39,0.27
000141,100,0.21
000142,57,0.32
000143,17,0.28
000144,3,0.76
000145,79,0.31
000146,84,0.31
000147,46,0.69
000148,43,0.71
000149,92,0.26
000150,49,0.76
000151,91,0.84
000152,96,0.8
000153,0,0.8
000154,86,0.45
000155,9,0.46
000156,37,0.59
000157,19,0.87
000158,57,0.27
000159,3,0.55
000160,5,0.32
000161,17,0.37
000162,35,0.27
000163,90,0.77
000164,10,0.56
000165,96,0.31
000166,45,0.86
000167,59,0.25
000168,90,0.76
000169,39,0.47
000170,18,0.53
000171,96,0.43
000172,96,0.2
000173,6,0.68
000174,38,0.58
000175,12,0.83
000176,15,0.76
000177,8,0.41
000178,54,0.85
000179,42,0.35
000180,22,0.34
000181,39,0.3
000182,96,0.73
000183,51,0.57
000184,19,0.7
000185,93,0.35
000186,63,0.77
000187,81,0.52
000188,99,0.6
000189,15,0.88
000190,12,0.84
000191,60,0.74
000192,6,0.24
000193,70,0.87
000194,13,0.59
000195,12,0.85
000196,22,0.32
000197,82,0.4
000198,82,0.84
000199,81,0.59
000200,55,0.34
000201,10,0.47
000202,34,0.31
000203,14,0.72
000204,17,0.74
000205,81,0.24
000206,40,0.58
000207,98,0.77
000208,1,0.9
000209,29,0.68
000210,38,0.26
000211,56,0.54
000212,4,0.66
000213,64,0.27
000214,45,0.52
000215,21,0.84
000216,6,0.45
000217,57,0.84
000218,61,0.49
000219,71,0.4
000220,5,0.82
000221,94,0.24
000222,48,0.27
000223,9,0.82
000224,99,0.28
000225,98,0.3
000226,70,0.26
000227,34,0.47
000228,48,0.2
000229,88,0.55
000230,88,0.36
000231,19,0.62
000232,79,0.56
000233,22,0.47
000234,19,0.45
000235,72,0.62
000236,39,0.2
000237,9,0.47
000238,2,0.44
000239,37,0.52
000240,81,0.41
000241,42,0.66
000242,91,0.8
000243,82,0.7
000244,5,0.81
000245,12,0.74
000246,68,0.68
000247,34,0.45
000248,86,0.36
000249,60,0.79
000250,61,0.27
000251,27,0.34
000252,14,0.34
000253,22,0.81
